Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
5.000230157754038	-73.81377753029739	0.0152	0.0215	0.0107	0.0105	0.0061	0.0067	0.0032	0.0045	agua
4.999431481835253	-73.818629573094	0.0188	0.0327	0.0144	0.0141	0.0059	0.0054	0.0015	0.003	agua
4.999430024347884	-73.81782114085856	0.0165	0.0267	0.0116	0.0116	0.0054	0.0048	0.0014	0.0026	agua
4.999428565864036	-73.81701270886185	0.0136	0.0206	0.0088	0.0091	0.0041	0.0053	0.0014	0.0015	agua
4.999427106383708	-73.81620427710406	0.0162	0.0259	0.0109	0.0111	0.0044	0.0033	0.0014	0.0011	agua
4.9994256459069035	-73.81539584558531	0.0196	0.0346	0.0155	0.0148	0.0053	0.0048	0.0013	0.0025	agua
4.999424184433625	-73.81458741430582	0.0196	0.034	0.0151	0.0155	0.0064	0.0049	0.0024	0.0028	agua
4.999422721963871	-73.8137789832657	0.0098	0.0115	0.0048	0.0055	0.0021	0.0057	0.0013	0.0014	agua
4.99862695611583	-73.82024788309515	0.0182	0.0305	0.0137	0.0139	0.0057	0.0051	0.0022	0.0029	agua
4.998625500857645	-73.81943945137223	0.0213	0.0381	0.0168	0.0171	0.0066	0.0027	0.0017	0.0026	agua
4.9986240446031385	-73.81863101988772	0.0179	0.0296	0.0126	0.0122	0.0048	0.005	0.0011	0.0027	agua
4.998622587352312	-73.81782258864179	0.015	0.0227	0.0093	0.0094	0.0047	0.0032	0.0013	0.0011	agua
4.998621129105169	-73.81701415763459	0.0115	0.0151	0.0064	0.0064	0.0034	0.0037	0.0011	0.0026	agua
4.998619669861708	-73.81620572686629	0.0125	0.0178	0.0077	0.0076	0.0034	0.0033	0.0013	0.0024	agua
4.998618209621934	-73.81539729633705	0.0151	0.024	0.0104	0.0106	0.0047	0.0031	0.0012	0.0025	agua
4.998616748385844	-73.81458886604705	0.0182	0.0311	0.0139	0.0141	0.0053	0.0036	0.002	0.0031	agua
4.998615286153444	-73.81378043599643	0.0089	0.0103	0.0041	0.0042	0.002	0.0037	0.0014	0.0018	agua
4.9986138229247326	-73.81297200618539	0.0085	0.0095	0.0041	0.0041	0.0018	0.0013	0.0015	0.0026	agua
4.997820972416662	-73.82105775864538	0.0181	0.0324	0.014	0.0144	0.0059	0.0044	0.0014	0.0028	agua
4.997819518390858	-73.82024932767357	0.0208	0.0375	0.0168	0.0156	0.0066	0.0051	0.0018	0.0027	agua
