Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.940545312259381	-73.85106917813523	0.0252	0.0529	0.0241	0.0326	0.0135	0.0112	0.0015	0.0021	agua
4.94054391142641	-73.85026080829668	0.0255	0.0531	0.0243	0.032	0.0135	0.0099	0.0019	0.0014	agua
4.939740662481825	-73.85268730696687	0.0282	0.0562	0.0275	0.0364	0.0152	0.0117	0.0034	0.0035	agua
4.939739263848032	-73.85187893764235	0.0279	0.0563	0.0276	0.0367	0.0146	0.0128	0.0036	0.0028	agua
4.939737864229667	-73.8510705685496	0.029	0.0581	0.0283	0.0381	0.0161	0.0105	0.0035	0.0025	agua
4.939736463626729	-73.85026219968879	0.0299	0.0604	0.0294	0.0403	0.0183	0.0112	0.0034	0.004	agua
4.939735062039224	-73.84945383106009	0.0281	0.0583	0.0279	0.0376	0.0159	0.0115	0.0032	0.0029	agua
4.938933213972531	-73.852688695196	0.0279	0.0579	0.0277	0.0375	0.0154	0.0111	0.0031	0.0031	agua
4.9389318155684485	-73.85188032684906	0.0288	0.0588	0.0285	0.0387	0.0147	0.0106	0.0032	0.0037	agua
4.938930416179956	-73.8510719587339	0.0305	0.0605	0.0302	0.0408	0.0172	0.0126	0.0045	0.0046	agua
4.938929015807055	-73.85026359085067	0.0312	0.062	0.0315	0.0422	0.0183	0.0141	0.0046	0.0041	agua
4.938927614449746	-73.84945522319957	0.0303	0.06	0.0301	0.04	0.016	0.0144	0.0045	0.0045	agua
4.9381271626333625	-73.85349845079651	0.0268	0.0561	0.0264	0.0359	0.0136	0.0098	0.0017	0.0024	agua
4.938125765443244	-73.85269008319537	0.0284	0.0594	0.0281	0.0388	0.014	0.011	0.0021	0.0022	agua
4.9381243672688715	-73.85188171582585	0.0289	0.0606	0.0293	0.0396	0.0151	0.0118	0.0026	0.0025	agua
4.938122968110251	-73.85107334868812	0.0277	0.0587	0.0281	0.0381	0.0138	0.0137	0.0023	0.002	agua
4.938121567967384	-73.85026498178233	0.0291	0.0603	0.0296	0.04	0.0162	0.0144	0.0024	0.0031	agua
4.937319713854538	-73.85349983758888	0.0277	0.0586	0.0279	0.0384	0.0135	0.0104	0.0015	0.0022	agua
4.937318316893967	-73.85269147096503	0.028	0.0586	0.0281	0.0382	0.0138	0.0109	0.0019	0.0023	agua
4.937316918949308	-73.85188310457278	0.0286	0.0594	0.0284	0.039	0.0144	0.0122	0.0025	0.0014	agua
4.93651226505573	-73.8535012241517	0.0274	0.0581	0.028	0.0375	0.0131	0.0109	0.002	0.0015	agua
4.936510868324706	-73.85269285850495	0.0282	0.0589	0.0288	0.0383	0.0136	0.0119	0.0024	0.0032	agua
4.934109359870598	-73.86482248472032	0.0255	0.0532	0.025	0.0328	0.0122	0.0109	0.0018	0.0015	agua
4.933303288858681	-73.86563222188882	0.026	0.0531	0.0246	0.0326	0.0116	0.0092	0.0021	0.0018	agua
4.933301907795213	-73.8648238566943	0.0261	0.0541	0.0255	0.0335	0.0121	0.0091	0.0014	0.0019	agua
